Title,Price,Discount (%),Link
"SL1 TV LED Backlight, Smart WiFi Strip Light Compatible with Alexa and Google Home, App Control, Music Sync 16 Million Rgb Red Green Blue 9.2Ft ST1-B",11.99,0,https://www.amazon.com/GHome-Smart-Backlight-Compatible-ST1-B/dp/B09WDHBPFD/ref=sr_1_13?dib=eyJ2IjoiMSJ9.lf2x-VRwyvotf4YvYK3w59Ntgcd8KCNiVQpFmVQ5gh0lIFuUROLXoD6PEU9236-i_3dNh1yXJ2Gz_4o3tNskXouI1J2Td6xA64A3STHDTSH0trYutdk3WVPpyCV8DTZXuMurzr3TeqMI26ed3mkZbUN8FlckkrASd2Wv6BqA7LPHUST3sKOi-ONobMrNMc7G6gt75mzMc0rmGYPtw8mMNTGFb9cfQnoCk_ZkZMeY-mE.fNre3wHVGwT5tWk2NXpZI6bVObkJLqUmHZjAcHa2wis&dib_tag=se&keywords=alexa+devices&qid=1732054106&sr=8-13
"100ft Smart Led Strip Lights for Bedroom, Work with Alexa, RGB Color Changing Music Sync Led Lights Strip with App Remote,Multi-Color Wireless Led Lights for Bedroom (APP+Remote+Voice)",16.99,0,https://www.amazon.com/TJOY-Bedroom-Changing-Multi-Color-Wireless/dp/B0995FCJ95/ref=sr_1_8?dib=eyJ2IjoiMSJ9.lf2x-VRwyvotf4YvYK3w59Ntgcd8KCNiVQpFmVQ5gh0lIFuUROLXoD6PEU9236-i_3dNh1yXJ2Gz_4o3tNskXouI1J2Td6xA64A3STHDTSH0trYutdk3WVPpyCV8DTZXuMurzr3TeqMI26ed3mkZbUN8FlckkrASd2Wv6BqA7LPHUST3sKOi-ONobMrNMc7G6gt75mzMc0rmGYPtw8mMNTGFb9cfQnoCk_ZkZMeY-mE.fNre3wHVGwT5tWk2NXpZI6bVObkJLqUmHZjAcHa2wis&dib_tag=se&keywords=alexa+devices&qid=1732054106&sr=8-8
"Plug HS103P4, Smart Home Wi-Fi Outlet Works with Alexa, Echo, Google Home & IFTTT, No Hub Required, Remote Control, 15 Amp, UL Certified, 4-Pack, White",19.99,0,https://www.amazon.com/TP-Link-Kasa-Smart-Wifi-Plug/dp/B07RCNB2L3/ref=sr_1_10?dib=eyJ2IjoiMSJ9.lf2x-VRwyvotf4YvYK3w59Ntgcd8KCNiVQpFmVQ5gh0lIFuUROLXoD6PEU9236-i_3dNh1yXJ2Gz_4o3tNskXouI1J2Td6xA64A3STHDTSH0trYutdk3WVPpyCV8DTZXuMurzr3TeqMI26ed3mkZbUN8FlckkrASd2Wv6BqA7LPHUST3sKOi-ONobMrNMc7G6gt75mzMc0rmGYPtw8mMNTGFb9cfQnoCk_ZkZMeY-mE.fNre3wHVGwT5tWk2NXpZI6bVObkJLqUmHZjAcHa2wis&dib_tag=se&keywords=alexa+devices&qid=1732054106&sr=8-10
"Smart Plug, Smart Home WiFi Outlet Works with Alexa & Google Home, Smart Socket with Remote Control & Timer Function, 2.4GHz WiFi Only, 4 Packs",24.99,0,https://www.amazon.com/Outlet-Compatible-Smartthings-Control-Function/dp/B0B62LPR5Z/ref=sr_1_6?dib=eyJ2IjoiMSJ9.lf2x-VRwyvotf4YvYK3w59Ntgcd8KCNiVQpFmVQ5gh0lIFuUROLXoD6PEU9236-i_3dNh1yXJ2Gz_4o3tNskXouI1J2Td6xA64A3STHDTSH0trYutdk3WVPpyCV8DTZXuMurzr3TeqMI26ed3mkZbUN8FlckkrASd2Wv6BqA7LPHUST3sKOi-ONobMrNMc7G6gt75mzMc0rmGYPtw8mMNTGFb9cfQnoCk_ZkZMeY-mE.fNre3wHVGwT5tWk2NXpZI6bVObkJLqUmHZjAcHa2wis&dib_tag=se&keywords=alexa+devices&qid=1732054106&sr=8-6
"Smart Light Bulbs, Smart Bulb That Work with Alexa & Google Home, LED Light Bulbs Color Changing, 64 Preset Scenes, Music Sync, A19 E26 2.4GHz RGBTW WiFi Bluetooth Light Bulb 60W, 800LM, 4Pack",29.99,0,https://www.amazon.com/Linkind-Google-Changing-Dimmable-Needed/dp/B0BC8N7QXN/ref=sr_1_14?dib=eyJ2IjoiMSJ9.lf2x-VRwyvotf4YvYK3w59Ntgcd8KCNiVQpFmVQ5gh0lIFuUROLXoD6PEU9236-i_3dNh1yXJ2Gz_4o3tNskXouI1J2Td6xA64A3STHDTSH0trYutdk3WVPpyCV8DTZXuMurzr3TeqMI26ed3mkZbUN8FlckkrASd2Wv6BqA7LPHUST3sKOi-ONobMrNMc7G6gt75mzMc0rmGYPtw8mMNTGFb9cfQnoCk_ZkZMeY-mE.fNre3wHVGwT5tWk2NXpZI6bVObkJLqUmHZjAcHa2wis&dib_tag=se&keywords=alexa+devices&qid=1732054106&sr=8-14
Echo Pop | Full sound compact smart speaker with Alexa | International Version with US Power Adaptor | Charcoal,39.99,0,https://www.amazon.com/Introducing-compact-speaker-International-Charcoal/dp/B09WX36C2H/ref=sr_1_2?dib=eyJ2IjoiMSJ9.lf2x-VRwyvotf4YvYK3w59Ntgcd8KCNiVQpFmVQ5gh0lIFuUROLXoD6PEU9236-i_3dNh1yXJ2Gz_4o3tNskXouI1J2Td6xA64A3STHDTSH0trYutdk3WVPpyCV8DTZXuMurzr3TeqMI26ed3mkZbUN8FlckkrASd2Wv6BqA7LPHUST3sKOi-ONobMrNMc7G6gt75mzMc0rmGYPtw8mMNTGFb9cfQnoCk_ZkZMeY-mE.fNre3wHVGwT5tWk2NXpZI6bVObkJLqUmHZjAcHa2wis&dib_tag=se&keywords=alexa+devices&qid=1732054106&sr=8-2
"Echo Dot (5th Gen, 2022 release) | International Version with US Power Adaptor | Smart speaker with Alexa | Charcoal",49.99,0,https://www.amazon.com/All-New-release-International-Version-Charcoal/dp/B09B8MV3F1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.lf2x-VRwyvotf4YvYK3w59Ntgcd8KCNiVQpFmVQ5gh0lIFuUROLXoD6PEU9236-i_3dNh1yXJ2Gz_4o3tNskXouI1J2Td6xA64A3STHDTSH0trYutdk3WVPpyCV8DTZXuMurzr3TeqMI26ed3mkZbUN8FlckkrASd2Wv6BqA7LPHUST3sKOi-ONobMrNMc7G6gt75mzMc0rmGYPtw8mMNTGFb9cfQnoCk_ZkZMeY-mE.fNre3wHVGwT5tWk2NXpZI6bVObkJLqUmHZjAcHa2wis&dib_tag=se&keywords=alexa+devices&qid=1732054106&sr=8-4
"Smart Watch, Alexa Built-in, Stable Bluetooth Call, 2024 Newest Fitness Tracker with Heart Rate/SpO2/Stress/Sleep Monitor, 100 Sports, IP68 Waterproof Smartwatches for iOS Android",59.99,0,https://www.amazon.com/aeac-Smart-Watch-Waterproof-Smartwatches/dp/B0CJRC683X/ref=sr_1_17?dib=eyJ2IjoiMSJ9.DHSQbTyQFVbtxr-Os8ATwFrALSnTz9_oSL580u4vdMr1dRsE56bodFGMmszZsujuFxLd2oyTv_BAO4csMLbHxYetESmJEUezWNOCk_YHmDIj7Tn4sgn8Ndjw_HAVYTlSdkp7pURfGRLoasWrryW6koDO0lMFHct9wQ3_-YLIBiOiBldlHavtmWMmZWR9cMmdBKFucUEoXh1QVCmCf-HANnvIXv5KOW4EwzcthYUUEEw.L9rfW0o4nALWGAUxIeSiN-ZzZMWN1Yev1ygFjY4_lfE&dib_tag=se&keywords=alexa+devices&qid=1732054114&sr=8-17
"All-new Echo Show 5 (3rd Gen, 2023 release) | Smart display with deeper bass and clearer sound | International Version with US Power Adaptor | Charcoal",89.99,0,https://www.amazon.com/All-new-release-display-International-Charcoal/dp/B09BHCSWBD/ref=sr_1_3?dib=eyJ2IjoiMSJ9.lf2x-VRwyvotf4YvYK3w59Ntgcd8KCNiVQpFmVQ5gh0lIFuUROLXoD6PEU9236-i_3dNh1yXJ2Gz_4o3tNskXouI1J2Td6xA64A3STHDTSH0trYutdk3WVPpyCV8DTZXuMurzr3TeqMI26ed3mkZbUN8FlckkrASd2Wv6BqA7LPHUST3sKOi-ONobMrNMc7G6gt75mzMc0rmGYPtw8mMNTGFb9cfQnoCk_ZkZMeY-mE.fNre3wHVGwT5tWk2NXpZI6bVObkJLqUmHZjAcHa2wis&dib_tag=se&keywords=alexa+devices&qid=1732054106&sr=8-3
"Echo (4th generation) International Version | With premium sound, smart home hub and Alexa | Charcoal",99.99,0,https://www.amazon.com/All-new-Echo-International-Version/dp/B086G1J6CN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.lf2x-VRwyvotf4YvYK3w59Ntgcd8KCNiVQpFmVQ5gh0lIFuUROLXoD6PEU9236-i_3dNh1yXJ2Gz_4o3tNskXouI1J2Td6xA64A3STHDTSH0trYutdk3WVPpyCV8DTZXuMurzr3TeqMI26ed3mkZbUN8FlckkrASd2Wv6BqA7LPHUST3sKOi-ONobMrNMc7G6gt75mzMc0rmGYPtw8mMNTGFb9cfQnoCk_ZkZMeY-mE.fNre3wHVGwT5tWk2NXpZI6bVObkJLqUmHZjAcHa2wis&dib_tag=se&keywords=alexa+devices&qid=1732054106&sr=8-7
